supersector_code,supersector_name,year,quarter_label,quarter,event_time,post,employment,avg_hourly_earnings,log_emp,log_wage,log_wbill,n_months,preliminary,aiie_score,aiie_zscore,n_naics
10,Mining and logging,2017,Q1,1,-23,0,654.3333333333334,32.14,6.483616905608352,3.4701013603093664,9.953718265917718,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2017,Q2,2,-22,0,673.3333333333334,31.836666666666662,6.512240501727141,3.4606186653785365,9.972859167105677,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2017,Q3,3,-21,0,682.6666666666666,32.056666666666665,6.5260066974912885,3.4675051700562807,9.99351186754757,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2017,Q4,4,-20,0,690.3333333333334,32.10666666666666,6.537174572727475,3.469063692892401,10.006238265619876,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2018,Q1,1,-19,0,706.3333333333334,32.336666666666666,6.5600872696001895,3.4762017773050826,10.036289046905273,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2018,Q2,2,-18,0,726.0,32.36666666666667,6.587550014824796,3.4771290866291698,10.064679101453963,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2018,Q3,3,-17,0,735.0,32.60333333333333,6.5998704992128365,3.484414532634292,10.084285031847129,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2018,Q4,4,-16,0,739.3333333333334,32.693333333333335,6.605748879242203,3.487171183519792,10.092920062761994,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2019,Q1,1,-15,0,743.3333333333334,32.906666666666666,6.611144575786055,3.493675271488968,10.104819847275024,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2019,Q2,2,-14,0,737.0,33.48666666666667,6.602587892189336,3.5111473496537893,10.113735241843123,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2019,Q3,3,-13,0,721.3333333333334,34.056666666666665,6.581101351298263,3.5280258039352224,10.109127155233486,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2019,Q4,4,-12,0,705.0,34.446666666666665,6.558197802812269,3.539412234190929,10.097610037003198,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2020,Q1,1,-11,0,680.3333333333334,34.46333333333333,6.522582874141735,3.539895956930492,10.062478831072228,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2020,Q2,2,-10,0,597.6666666666666,34.81,6.393033184937023,3.549904701823348,9.94293788676037,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2020,Q3,3,-9,0,563.6666666666666,34.56,6.334463060230471,3.542696943935855,9.877160004166326,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2020,Q4,4,-8,0,555.6666666666666,34.343333333333334,6.320168594082684,3.536407919288867,9.856576513371552,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2021,Q1,1,-7,0,547.0,34.54,6.304448802421981,3.5421180727185324,9.846566875140514,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2021,Q2,2,-6,0,557.0,34.626666666666665,6.322565239927284,3.544624098126438,9.867189338053722,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2021,Q3,3,-5,0,564.0,34.99,6.335054251498059,3.5550623063795967,9.890116557877656,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2021,Q4,4,-4,0,572.6666666666666,35.38333333333333,6.350303813876091,3.5662408994811554,9.916544713357249,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2022,Q1,1,-3,0,582.6666666666666,35.54333333333333,6.367615267547371,3.5707526093619784,9.93836787690935,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2022,Q2,2,-2,0,601.3333333333334,35.43333333333334,6.399149411954459,3.5676529966797927,9.966802408634251,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2022,Q3,3,-1,0,613.3333333333334,36.32,6.418908561934922,3.5923685537330927,10.011277115668014,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2022,Q4,4,0,1,623.0,36.57,6.434546518787453,3.59922823216129,10.033774750948742,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2023,Q1,1,1,1,633.6666666666666,37.17,6.45152305382032,3.615501984309161,10.06702503812948,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2023,Q2,2,2,1,639.6666666666666,37.88666666666666,6.46094720733959,3.6345992472008657,10.095546454540456,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2023,Q3,3,3,1,641.3333333333334,38.443333333333335,6.463549342557542,3.6491852955697377,10.11273463812728,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2023,Q4,4,4,1,637.6666666666666,38.77,6.457815680772143,3.657646751682838,10.11546243245498,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2024,Q1,1,5,1,634.0,39.28666666666666,6.452048954437226,3.670885190741657,10.122934145178885,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2024,Q2,2,6,1,624.0,39.71333333333333,6.436150368369428,3.681686983532432,10.11783735190186,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2024,Q3,3,7,1,621.3333333333334,39.71,6.431867706577427,3.68160304514316,10.113470751720588,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2024,Q4,4,8,1,622.6666666666666,39.9,6.434011330120678,3.686376323895818,10.120387654016495,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2025,Q1,1,9,1,621.3333333333334,40.11666666666667,6.431867706577427,3.691791875560971,10.123659582138398,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2025,Q2,2,10,1,618.6666666666666,40.10333333333333,6.427566624678036,3.691459456377324,10.11902608105536,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2025,Q3,3,11,1,607.3333333333334,40.36333333333334,6.409077789151794,3.697921782098165,10.10699957124996,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2025,Q4,4,12,1,605.0,40.67333333333334,6.405228458030842,3.705572677055597,10.110801135086438,3,0,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2026,Q1,1,13,1,602.0,40.85,6.400257445308821,3.709906821306012,10.110164266614833,3,1,-1.0077500000000001,-1.4187037685181998,8
10,Mining and logging,2026,Q2,2,14,1,606.0,41.31,6.406879986069314,3.721104601408673,10.127984587477988,1,1,-1.0077500000000001,-1.4187037685181998,8
20,Construction,2017,Q1,1,-23,0,6874.333333333333,28.563333333333333,8.835549948135938,3.352123844012917,12.187673792148855,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2017,Q2,2,-22,0,6936.333333333333,28.74,8.84452857574467,3.358289880650879,12.202818456395548,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2017,Q3,3,-21,0,6994.333333333333,29.016666666666666,8.852855576386585,3.3678703775460885,12.220725953932671,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2017,Q4,4,-20,0,7063.333333333333,29.203333333333333,8.862672362594235,3.374282858010163,12.236955220604395,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2018,Q1,1,-19,0,7157.0,29.473333333333333,8.875846177738598,3.3834858997299877,12.259332077468583,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2018,Q2,2,-18,0,7259.333333333333,29.7,8.890043276237897,3.391147045808654,12.28119032204655,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2018,Q3,3,-17,0,7346.666666666667,30.046666666666667,8.902001974598742,3.4027517285943927,12.304753703193134,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2018,Q4,4,-16,0,7390.333333333333,30.33,8.9079281189241,3.41213732170049,12.32006544062459,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2019,Q1,1,-15,0,7415.0,30.433333333333334,8.911260254572033,3.415538498932813,12.326798753504846,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2019,Q2,2,-14,0,7482.666666666667,30.67333333333333,8.920344513674133,3.4233936560592126,12.343738169733346,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2019,Q3,3,-13,0,7534.333333333333,30.826666666666668,8.927225631145479,3.428380116255957,12.355605747401436,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2019,Q4,4,-12,0,7540.333333333333,31.093333333333334,8.928021668689725,3.4369934339340724,12.3650151026238,3,0,-0.9969999999999999,-1.4044879005988997,10
20,Construction,2020,Q1,1,-11,0,7575.333333333333,31.33333333333333,8.932652633809845,3.4446824936018943,12.377335127411738,3,0,-0.9969999999999999,-1.4044879005988997,10
